X,Y,Name,city,ku,address,address2,phone,vaccine
141.47657,43.0309081,中野医院,北海道札幌市,厚別区,北海道札幌市厚別区青葉町6丁目1-5,,011-891-1555,1:2:3:4:5:6:7:8:9:10:11:12
141.4771421,43.0307775,医療法人社団 青葉産婦人科クリニック,北海道札幌市,厚別区,北海道札幌市厚別区青葉町6丁目1-9,,011-893-3207,8
141.4810997,43.0375129,勇気会医療法人 北央病院,北海道札幌市,厚別区,北海道札幌市厚別区青葉町11丁目2-10,,011-892-8531,6:7:8:9:12
141.4799879,43.0577637,森林公園センタークリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別北2条5丁目1-12,森林公園パークタウンセンタービル2階,011-893-0008,1:2:3:4:5:6:7:9:10:11:12
141.4762215,43.0598162,医療法人社団桐佑会 札幌藤島クリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別北4条4丁目1-8,,011-801-7707,1:2:3:4:5:6:7:8:9:10:11:12
141.4750241,43.0629798,そらいろこどもクリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別北5条5丁目1-7,,011-375-8807,1:2:3:4:5:6:7:8:9:10:11:12
141.4653541,43.0341327,たけい内科胃腸科クリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央1条3丁目5-1,,011-891-2707,1:2:3:6
141.4755668,43.0400932,新札幌耳鼻咽喉科医院,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央1条6丁目2-15,新札幌センタービル2階,011-893-1133,10:11
141.4745198,43.0386684,新札幌内科クリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央1条6丁目3-1,ホクノー新札幌ビル3階,011-895-7074,8
141.4745198,43.0386684,医療法人社団育悠会 新札幌こども発達クリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央1条6丁目3-1,,011-893-1511,1:3:4:5:6:7:8
141.4560578,43.0320884,医療法人社団 はしもとクリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央2条1丁目4-15,,011-891-2633,8
141.4719088,43.0406681,医療法人社団 幸田内科消化器クリニック,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央2条5丁目4-1,新札幌七彩館ビル2階,011-896-3888,3:4:5:8:11
141.4724088,43.0385295,医療法人社団恒仁会 新さっぽろ小児科,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央2条5丁目6-3,新さっぽろアークシティデュオⅡ 4F,011-895-8311,1:2:3:4:5:6:7:8:9:10:11:12
141.4737891,43.0420125,独立行政法人地域医療機能推進機構 JCHO札幌北辰病院,北海道札幌市,厚別区,北海道札幌市厚別区厚別中央2条6丁目2-1,,011-893-3000,1:2:3:4:5:6:7:8:9:10:11:12
